Date;ID;Title;Speaker Name;Thumbnail;Tags;Views;Likes;Dislikes;Favourite Count;Comment Count;Published on
2019-04-21;NQ9uWbZ285Q;How to create passioneers;Steffie Limère;https://i.ytimg.com/vi/NQ9uWbZ285Q/mqdefault.jpg;TEDxTalks,English,Germany,Education,Adventure,Business,Career,Communication,Community,Connection,Creation,Creativity,Curiosity,Dreams,Emotions,Exploration,Goal-setting,Happiness,Initiative,Innovation,Leadership,Life Development,Motivation,Passion,Personal growth,Purpose,Teaching,Volunteering,Work;2685;32;1;0;1;2017-02-09T19:43:40.000Z
2019-04-21;D6_J7FfgWVc;6 Steps to Improve Your Emotional Intelligence;Ramona Hacker;https://i.ytimg.com/vi/D6_J7FfgWVc/mqdefault.jpg;TEDxTalks,English,Life,Community,Compassion,Emotions,Intelligence,Learning,Self,Self improvement,Society;465352;6366;472;0;151;2018-02-21T21:50:47.000Z
2019-04-21;sRVxPE1cguo;Stick Up: The layers of tape art;Max Zorn and Audrey Sykes;https://i.ytimg.com/vi/sRVxPE1cguo/mqdefault.jpg;TEDxTalks,English,Germany,Art,Brand,Communication,Community,Cooperation,Creation,Creativity,Design,Entertainment,Happiness,Hope,Invention,Origami,Painting,Simplicity,Success;7396;73;2;0;4;2016-02-02T21:04:07.000Z
2019-04-21;0qVOUD76JOg;The art of neural networks;Mike Tyka;https://i.ytimg.com/vi/0qVOUD76JOg/mqdefault.jpg;TEDxTalks,English,Germany,Technology,AI,Art,Computers,Creativity,Engineering,Poetry,Science,Visualization;216468;3236;69;0;124;2015-12-07T19:46:38.000Z
2019-04-21;JR_DmkV4Jlw;Design beyond the shape;Benoit Jacob;https://i.ytimg.com/vi/JR_DmkV4Jlw/mqdefault.jpg;English,Germany,Computer Science,ted talk,Lifestyle,tedx talk,tedx,tedx talks,TEDxTalks,Climate Change,ted talks,ted,ted x,Design,Sustainability;5364;51;0;0;0;2014-07-25T22:15:03.000Z
2019-04-21;7b_7RXB3HnI;Stir, Blend, Disrupt: How Architects Think & What Managers Can Learn;Christos Chantzaras;https://i.ytimg.com/vi/7b_7RXB3HnI/mqdefault.jpg;TEDxTalks,English,Design,Architecture,Business,Communication,Product design,Start-up;893;17;0;0;0;2018-02-21T21:49:45.000Z
2019-04-21;d4yD0kz34jg;Why shit matters;Christoph Lüthi;https://i.ytimg.com/vi/d4yD0kz34jg/mqdefault.jpg;TEDxTalks,English,Global Issues,Environment,Global issues,Globalization,Health,Public health,Research,Science,Slum,Sustainability,Water;1744;45;0;0;4;2019-01-17T17:56:06.000Z
2019-04-21;2B91UE0gHps;Acoustic Performance;Peak to Peak;https://i.ytimg.com/vi/2B91UE0gHps/mqdefault.jpg;TEDxTalks,English,Germany,Entertainment,Band;546;3;0;0;0;2017-02-14T15:28:51.000Z
2019-04-21;6MxbegZtAII;Create a universe out of a single line;Simon James;https://i.ytimg.com/vi/6MxbegZtAII/mqdefault.jpg;TEDxTalks,English,Germany,Art,Adventure,Arts education,Career,Communication,Creation,Creativity,Culture,Failure,Self,Self improvement,Work;889;18;0;0;3;2017-02-10T17:11:18.000Z
2019-04-21;m4w-FV6eERI;The potential of brain stimulation;Sandro Krieg;https://i.ytimg.com/vi/m4w-FV6eERI/mqdefault.jpg;TEDxTalks,English,Germany,Science (hard),Brain,Cancer,Future,Health,Medicine,Mental health,Neurology,Neuroscience,Public health,Science,Surgery;3111;34;0;0;1;2017-02-17T17:48:43.000Z
2019-04-21;3uLp0C6G__w;The fascinating intelligence of birds;Auguste von Bayern;https://i.ytimg.com/vi/3uLp0C6G__w/mqdefault.jpg;TEDxTalks,English,Germany,Science (hard),Animals,Birds,Brain,Cognitive science,Communication,Exploration,Intelligence,Relationships,Science;108866;1867;49;0;256;2017-02-10T17:11:15.000Z
2019-04-21;LxhxeGZzRqM;Car jumping: the future of transportation;Tommaso Gecchelin;https://i.ytimg.com/vi/LxhxeGZzRqM/mqdefault.jpg;TEDxTalks,English,Technology,Cities,Future,Invention,Mobility,Transportation,Travel,Urban Planning;41591;32;0;0;1;2019-01-17T17:56:06.000Z
2019-04-21;5SDZA06wO44;Contemporary Ballet;Munich International Ballet School;https://i.ytimg.com/vi/5SDZA06wO44/mqdefault.jpg;TEDxTalks,English,Germany,Entertainment,Art,Creativity,Dance (performance);2255;13;1;0;1;2016-01-25T19:41:49.000Z
2019-04-21;S-S5_oVNvZQ;How compassion goes further than pity;Steffen Linßen & Daniel Kühbacher;https://i.ytimg.com/vi/S-S5_oVNvZQ/mqdefault.jpg;TEDxTalks,German,Global Issues,Compassion,Disability,Discrimination,Disease,Emotions,Empathy,Friendship,Identity,Life,Social Change,Society;1462;39;0;0;3;2019-01-17T17:56:06.000Z
2019-04-21;AuYWdpyeND8;A violin meets a loop station;Gustavo Strauß;https://i.ytimg.com/vi/AuYWdpyeND8/mqdefault.jpg;TEDxTalks,English,Entertainment,Music (performance);1056;38;0;0;3;2019-01-17T17:56:06.000Z
2019-04-21;fJc7RYLuhUo;Tap dance;Sema Karakurt & Urs Jandl;https://i.ytimg.com/vi/fJc7RYLuhUo/mqdefault.jpg;TEDxTalks,English,Entertainment,Dance (performance);743;7;0;0;0;2019-01-17T17:56:06.000Z
2019-04-21;3DyrDKYhSi8;The natural way of managing leaders;Erik Ringertz;https://i.ytimg.com/vi/3DyrDKYhSi8/mqdefault.jpg;TEDxTalks,English,Germany,Business,Communication,Decision making,Leadership,Work;12027;128;4;0;0;2015-12-14T18:43:42.000Z
2019-04-21;0NDL0AgRK0c;Deep Learning Beyond Cats and Dogs;Nils Thuerey;https://i.ytimg.com/vi/0NDL0AgRK0c/mqdefault.jpg;TEDxTalks,English,Technology,Computers,Future,Intelligence,Medicine,Visualization;1052;24;0;0;1;2018-02-21T21:53:50.000Z
